CellType,Symbol,AffymetrixID,UGCluster,EntrezGene
NK cells,TINAGL1,219058_x_at,Hs.199368 ,64129
NK cells,IGFBP5,203426_s_at,Hs.635441 ,3488
NK cells,ALDH1B1,209646_x_at,Hs.436219 ,219
NK cells,NCR1,217095_x_at,Hs.97084 ,9437
NK cells,NCR1,217088_s_at,Hs.97084 ,9437
NK cells,NCR1,207860_at,Hs.97084 ,9437
NK CD56dim cells,KIR3DL2,207314_x_at,Hs.645532 ,3812
NK CD56dim cells,KIR3DL2,216907_x_at,Hs.645532 ,3812
NK CD56dim cells,SPON2,218638_s_at,Hs.302963 ,10417
NK CD56dim cells,KIR2DL3,208179_x_at,Hs.654608 ,3804
NK CD56dim cells,GZMB,210164_at,Hs.1051 ,3002
NK CD56dim cells,KIR3DS1,211389_x_at,Hs.6833811733 ,3813
NK CD56dim cells,KIR3DL1,211687_x_at,Hs.645228 ,3811
NK CD56dim cells,FLJ20699,216434_at,Hs.435832 ,55020
NK CD56dim cells,TMEPAI,217875_s_at,Hs.517155 ,56937
NK CD56dim cells,KIR3DL2,211688_x_at,Hs.645532 ,3812
NK CD56dim cells,IL21R,221658_s_at,Hs.210546 ,50615
NK CD56dim cells,KIR3DL2,207313_x_at,Hs.645532 ,3812
NK CD56dim cells,KIR3DL3,216676_x_at,Hs.645224 ,115653
NK CD56dim cells,KIR2DS5,208203_x_at,Hs.659860 ,3810
NK CD56dim cells,KIR2DS2,211532_x_at,Hs.654605 ,3807
NK CD56dim cells,GTF3C1,202320_at,Hs.371718 ,2975
NK CD56dim cells,KIR2DS1,216552_x_at,Hs.661101 ,3806
NK CD56dim cells,EDG8,221417_x_at,Hs.501561 ,53637
NK CD56bright cells,DUSP4,204014_at,Hs.417962 ,1846
NK CD56bright cells,RRAD,204803_s_at,Hs.1027 ,6236
NK CD56bright cells,XCL1,206365_at,Hs.546295 ,6375
NK CD56bright cells,PLA2G6,215938_s_at,Hs.170479 ,8398
NK CD56bright cells,PLA2G6,204691_x_at,Hs.170479 ,8398
NK CD56bright cells,NIBP,221672_s_at,Hs.654911 ,83696
NK CD56bright cells,FOXJ1,205906_at,Hs.651204 ,2302
NK CD56bright cells,03/06/09,215908_at,Hs.432862 ,10299
NK CD56bright cells,DUSP4,204015_s_at,Hs.417962 ,1846
NK CD56bright cells,PLA2G6,210647_x_at,Hs.170479 ,8398
NK CD56bright cells,MADD,38398_at,Hs.82548 ,8567
NK CD56bright cells,BG255923,215409_at,Hs.352614 ,254531
NK CD56bright cells,MPPED1,206436_at,Hs.592198 ,758
NK CD56bright cells,MUC3B,214676_x_at,Hs.489354 ,57876
DC,CD209,207277_at,Hs.278694 ,30835
DC,CCL17,207900_at,Hs.546294 ,6361
DC,HSD11B1,205404_at,Hs.195040 ,3290
DC,CCL13,206407_s_at,Hs.414629 ,6357
DC,CCL22,207861_at,Hs.534347 ,6367
DC,PPFIBP2,212841_s_at,Hs.655714 ,8495
DC,NPR1,32625_at,Hs.490330 ,4881
iDC,CD1B,206749_at,Hs.1310 ,910
iDC,VASH1,203940_s_at,Hs.525479 ,22846
iDC,F13A1,203305_at,Hs.335513 ,2162
iDC,CD1E,215784_at,Hs.249217 ,913
iDC,MMP12,204580_at,Hs.1695 ,4321
iDC,FABP4,203980_at,Hs.391561 ,2167
iDC,CLEC10A,206682_at,Hs.54403 ,10462
iDC,SYT17,205613_at,Hs.258326 ,51760
iDC,MS4A6A,219666_at,Hs.523702 ,64231
iDC,CTNS,204925_at,Hs.187667 ,1497
iDC,GUCA1A,206062_at,Hs.92858 ,2978
iDC,CARD9,220162_s_at,Hs.694071 ,64170
iDC,CD1E,208592_s_at,Hs.249217 ,913
iDC,ABCG2,209735_at,Hs.480218 ,9429
iDC,CD1A,210325_at,Hs.1309 ,909
iDC,PPARG,208510_s_at,Hs.162646 ,5468
iDC,RAP1GAP,203911_at,Hs.148178 ,5909
iDC,SLC7A8,216604_s_at,Hs.632348 ,23428
iDC,GSTT1,203815_at,Hs.568022 ,2952
iDC,NM_021941,218019_s_at,Hs.284491 ,8566
iDC,FZD2,210220_at,Hs.142912 ,2535
iDC,CSF1R,203104_at,Hs.654394 ,1436
iDC,HS3ST2,219697_at,Hs.622536 ,9956
iDC,CH25H,206932_at,Hs.47357 ,9023
iDC,LMAN2L,221274_s_at,Hs.655743 ,81562
iDC,SLC26A6,221572_s_at,Hs.663208 ,65010
iDC,BLVRB,202201_at,Hs.515785 ,645
iDC,NUDT9,218375_at,Hs.149500 ,53343
iDC,PREP,204117_at,Hs.436564 ,5550
iDC,TM7SF4,221266_s_at,Hs.652230 ,81501
iDC,TACSTD2,202286_s_at,Hs.23582 ,4070
iDC,CD1C,205987_at,Hs.132448 ,911
aDC,CCL1,207533_at,Hs.72918 ,6346
aDC,EBI3,219424_at,Hs.501452 ,10148
aDC,INDO,210029_at,Hs.840 ,3620
aDC,LAMP3,205569_at,Hs.518448 ,27074
aDC,OAS3,218400_at,Hs.528634 ,4940
pDC,IL3RA,206148_at,Hs.632790 ,3563
Eosinophils,IL5RA,211517_s_at,Hs.68876 ,3568
Eosinophils,KCNH2,205262_at,Hs.647099 ,3757
Eosinophils,TKTL1,216370_s_at,Hs.102866 ,8277
Eosinophils,IL5RA,210744_s_at,Hs.68876 ,3568
Eosinophils,EMR1,207111_at,Hs.2375 ,2015
Eosinophils,KCNH2,210036_s_at,Hs.647099 ,3757
Eosinophils,CCR3,208304_at,Hs.506190 ,1232
Eosinophils,ACACB,49452_at,Hs.234898 ,32
Eosinophils,THBS1,201108_s_at,Hs.164226 ,7057
Eosinophils,GALC,211810_s_at,Hs.513439 ,2581
Eosinophils,TKTL1,214183_s_at,Hs.102866 ,8277
Eosinophils,RNU2,210230_at,Hs.676605 ,728965
Eosinophils,CLC,206207_at,Hs.889 ,1178
Eosinophils,THBS1,201109_s_at,Hs.164226 ,7057
Eosinophils,HIST1H1C,209398_at,Hs.7644 ,3006
Eosinophils,CYSLTR2,220813_at,Hs.614318 ,57105
Eosinophils,HRH4,221170_at,Hs.287388 ,59340
Eosinophils,RNASE2,206111_at,Hs.728 ,6036
Eosinophils,CAT,211922_s_at,Hs.502302 ,847
Eosinophils,LRP5L,214873_at,Hs.634058,91355
Eosinophils,SYNJ1,207594_s_at,Hs.473632,8867
Eosinophils,SYNJ1,212990_at,Hs.473632,8867
Eosinophils,THBS4,204776_at,Hs.211426,7060
Eosinophils,GPR44,206361_at,Hs.299567,11251
Eosinophils,KBTBD11,204301_at,Hs.5333,9920
Eosinophils,HES1,203394_s_at,Hs.250666,3280
Eosinophils,ABHD2,205566_at,Hs.666465,11057
Eosinophils,TIPARP,212665_at,Hs.547611,25976
Eosinophils,SMPD3,219695_at,Hs.368421,55512
Eosinophils,MYO15B,59375_at,Hs.390817,80022
Eosinophils,TGIF1,203313_s_at,Hs.373550,7050
Eosinophils,RRP12,216360_x_at,Hs.434251,23223
Eosinophils,ACACB,43427_at,Hs.234898,32
Eosinophils,IGSF2,207167_at,Hs.654598,9398
Eosinophils,HES1,203395_s_at,Hs.250666,3280
Eosinophils,RCOR3,218344_s_at,Hs.356399,55758
Eosinophils,EPN2,203463_s_at,Hs.655086,22905
Eosinophils,C9orf156,222195_s_at,Hs.9196,51531
Eosinophils,SIAH1,202981_x_at,Hs.295923,6477
Eosinophils,ACACB,221928_at,Hs.234898,32
Macrophages,MARCO,205819_at,Hs.67726,8685
Macrophages,CXCL5,214974_x_at,Hs.89714,6374
Macrophages,SCG5,203889_at,Hs.156540,6447
Macrophages,SULT1C2,205342_s_at,Hs.436123,6819
Macrophages,SULT1C2,211470_s_at,Hs.436123,6819
Macrophages,MSR1,214770_at,Hs.147635,4481
Macrophages,CTSK,202450_s_at,Hs.632466,1513
Macrophages,PTGDS,212187_x_at,Hs.446429,5730
Macrophages,COLEC12,221019_s_at,Hs.464422,81035
Macrophages,GPC4,204984_at,Hs.58367,2239
Macrophages,MSR1,208423_s_at,Hs.147635,4481
Macrophages,PCOLCE2,219295_s_at,Hs.8944,26577
Macrophages,CHIT1,208168_s_at,Hs.201688,1118
Macrophages,PTGDS,211748_x_at,Hs.446429,5730
Macrophages,KAL1,205206_at,Hs.521869,3730
Macrophages,CLEC5A,219890_at,Hs.446235,23601
Macrophages,GPC4,204983_s_at,Hs.58367,2239
Macrophages,ME1,204058_at,Hs.21160,4199
Macrophages,DNASE2B,220380_at,Hs.129142,58511
Macrophages,CCL7,208075_s_at,Hs.251526,6354
Macrophages,FN1,214701_s_at,Hs.203717,2335
Macrophages,CD163,203645_s_at,Hs.504641,9332
Macrophages,GM2A,215891_s_at,Hs.483873,2760
Macrophages,SCARB2,201647_s_at,Hs.349656,950
Macrophages,BCAT1,214452_at,Hs.438993,586
Macrophages,BCAT1,214390_s_at,Hs.438993,586
Macrophages,RAI14,202052_s_at,Hs.431400,26064
Macrophages,MSR1,211887_x_at,Hs.147635,4481
Macrophages,COL8A2,52651_at,Hs.353001,1296
Macrophages,CD163,215049_x_at,Hs.504641,9332
Macrophages,APOE,203381_s_at,Hs.654439,348
Macrophages,CHI3L1,209396_s_at,Hs.382202,1116
Macrophages,ATG7,218673_s_at,Hs.38032,10533
Macrophages,CD84,211190_x_at,Hs.398093,8832
Macrophages,FDX1,203646_at,Hs.744,2230
Macrophages,MS4A4A,219607_s_at,Hs.325960,51338
Macrophages,SGMS1,212989_at,Hs.654698,259230
Macrophages,EMP1,201324_at,Hs.436298,2012
Macrophages,CYBB,203922_s_at,Hs.292356,1536
Macrophages,CD68,203507_at,Hs.647419,968
Mast cells,PRG2,211743_s_at,Hs.512633,5553
Mast cells,CTSG,205653_at,Hs.421724,1511
Mast cells,TPSAB1,215382_x_at,Hs.405479,7177
Mast cells,SLC18A2,205857_at,Hs.654476,6571
Mast cells,TPSAB1,205683_x_at,Hs.405479,7177
Mast cells,MS4A2,207497_s_at,Hs.386748,2206
Mast cells,CPA3,205624_at,Hs.646,1359
Mast cells,TPSB2,207134_x_at,Hs.592982,64499
Mast cells,TPSAB1,216474_x_at,Hs.405479,7177
Mast cells,NM_003293,207741_x_at,Hs.592982,64499
Mast cells,TPSAB1,210084_x_at,Hs.405479,7177
Mast cells,MS4A2,207496_at,Hs.386748,2206
Mast cells,TPSAB1,217023_x_at,Hs.405479,7177
Mast cells,GATA2,209710_at,Hs.367725,2624
Mast cells,HDC,207067_s_at,Hs.1481,3067
Mast cells,LOH11CR2A,210102_at,Hs.152944,4013
Mast cells,SIGLEC6,210796_x_at,Hs.397255,946
Mast cells,ELA2,206871_at,Hs.99863,1991
Mast cells,LOH11CR2A,205011_at,Hs.152944,4013
Mast cells,CMA1,214533_at,Hs.135626,1215
Mast cells,SIGLEC6,206520_x_at,Hs.397255,946
Mast cells,PGDS,206726_at,Hs.128433,27306
Mast cells,MLPH,218211_s_at,Hs.102406,79083
Mast cells,ADCYAP1,206281_at,Hs.592343,116
Mast cells,SIGLEC6,206519_x_at,Hs.397255,946
Mast cells,SLC24A3,57588_at,Hs.654790,57419
Mast cells,CALB2,205428_s_at,Hs.106857,794
Mast cells,SLC24A3,219090_at,Hs.654790,57419
Mast cells,KIT,205051_s_at,Hs.479754,3815
Mast cells,TAL1,206283_s_at,Hs.525198,6886
Mast cells,ABCC4,203196_at,Hs.508423,10257
Mast cells,PPM1H,212686_at,Hs.435479,57460
Mast cells,MAOB,204041_at,Hs.654473,4129
Mast cells,HPGD,211549_s_at,Hs.655491,3248
Mast cells,SCG2,204035_at,Hs.516726,7857
Mast cells,PTGS1,205127_at,Hs.201978,5742
Mast cells,CEACAM8,206676_at,Hs.41,1088
Mast cells,MPO,203949_at,Hs.458272,4353
Mast cells,NR0B1,206645_s_at,Hs.268490,190
Mast cells,LOC339524,215039_at,Hs.615291,339524
Neutrophils,CSF3R,203591_s_at,Hs.524517,1441
Neutrophils,CYP4F3,206515_at,Hs.106242,4051
Neutrophils,VNN3,220528_at,Hs.183656,55350
Neutrophils,FPRL1,210773_s_at,Hs.99855,2358
Neutrophils,KCNJ15,216782_at,Hs.411299,3772
Neutrophils,MME,203434_s_at,Hs.307734,4311
Neutrophils,IL8RA,207094_at,Hs.194778,3577
Neutrophils,IL8RB,207008_at,Hs.846,3579
Neutrophils,MME,203435_s_at,Hs.307734,4311
Neutrophils,FCGR3B,204007_at,Hs.372679,2215
Neutrophils,DYSF,218660_at,Hs.252180,8291
Neutrophils,KCNJ15,211806_s_at,Hs.411299,3772
Neutrophils,FCAR,211816_x_at,Hs.659872,2204
Neutrophils,FCAR,211307_s_at,Hs.659872,2204
Neutrophils,CEACAM3,210789_x_at,Hs.11,1084
Neutrophils,FPRL1,210772_at,Hs.99855,2358
Neutrophils,HIST1H2BC,214455_at,Hs.658713 ,8347
Neutrophils,HPSE,219403_s_at,Hs.44227 ,10855
Neutrophils,FLJ11151,218610_s_at,Hs.560445 ,55313
Neutrophils,CREB5,205931_s_at,Hs.437075 ,9586
Neutrophils,S100A12,205863_at,Hs.19413 ,6283
Neutrophils,FCGR3B,204006_s_at,Hs.372679 ,2215
Neutrophils,TNFRSF10C,211163_s_at,Hs.655801 ,8794
Neutrophils,SLC22A4,205896_at,Hs.640104 ,6583
Neutrophils,KIAA0329,204307_at,Hs.195667 ,9895
Neutrophils,SLC25A37,218136_s_at,Hs.65518321028 ,51312
Neutrophils,BST1,205715_at,Hs.169998 ,683
Neutrophils,FCAR,207674_at,Hs.659872 ,2204
Neutrophils,CEACAM3,208052_x_at,Hs.11 ,1084
Neutrophils,CRISPLD2,221541_at,Hs.513779 ,83716
Neutrophils,TNFRSF10C,206222_at,Hs.655801 ,8794
Neutrophils,G0S2,213524_s_at,Hs.432132 ,50486
Neutrophils,SIGLEC5,220000_at,Hs.310333 ,8778
Neutrophils,CD93,202878_s_at,Hs.97199 ,22918
Neutrophils,MGAM,206522_at,Hs.122785 ,8972
Neutrophils,ALPL,215783_s_at,Hs.75431 ,249
Neutrophils,FPR1,205119_s_at,Hs.753 ,2357
Neutrophils,CD93,202877_s_at,Hs.97199 ,22918
Neutrophils,PDE4B,222326_at,Hs.198072 ,5142
Neutrophils,LILRB2,210146_x_at,Hs.655652 ,10288
SW480 cancer cells,KRT5,201820_at,Hs.6734835822 ,3852
SW480 cancer cells,RBP1,203423_at,Hs.529571 ,5947
SW480 cancer cells,TRIM29,202504_at,Hs.504115 ,23650
SW480 cancer cells,DEFA5,207529_at,Hs.655233 ,1670
SW480 cancer cells,BMP4,211518_s_at,Hs.68879 ,652
SW480 cancer cells,EEF1A2,204540_at,Hs.433839 ,1917
SW480 cancer cells,VSNL1,203797_at,Hs.444212 ,7447
SW480 cancer cells,ASPSCR1,218908_at,Hs.298351 ,79058
SW480 cancer cells,IGF2,202409_at,Hs.6435468110 ,3481
SW480 cancer cells,MFAP2,203417_at,Hs.389137 ,4237
SW480 cancer cells,FGF3,214571_at,Hs.37092 ,2248
SW480 cancer cells,S100A2,204268_at,Hs.516484 ,6273
SW480 cancer cells,INHBB,205258_at,Hs.1735 ,3625
SW480 cancer cells,JAG2,209784_s_at,Hs.433445 ,3714
SW480 cancer cells,LOC89944,213713_s_at,Hs.436178 ,89944
SW480 cancer cells,BAMBI,203304_at,Hs.533336 ,25805
SW480 cancer cells,JAG2,32137_at,Hs.433445 ,3714
SW480 cancer cells,BMP7,209591_s_at,Hs.473163 ,655
SW480 cancer cells,RPP25,219143_s_at,Hs.8562 ,54913
SW480 cancer cells,RHOD,209885_at,Hs.15114 ,29984
SW480 cancer cells,DHRS2,214079_at,Hs.272499 ,10202
SW480 cancer cells,ITGB4,204989_s_at,Hs.632226 ,3691
SW480 cancer cells,NTSR1,207360_s_at,Hs.590869 ,4923
SW480 cancer cells,STRA6,221701_s_at,Hs.24553 ,64220
SW480 cancer cells,SLC1A5,208916_at,Hs.631582 ,6510
SW480 cancer cells,VSNL1,203798_s_at,Hs.444212 ,7447
SW480 cancer cells,FKBP4,200894_s_at,Hs.524183 ,2288
SW480 cancer cells,S100A3,206027_at,Hs.557609 ,6274
SW480 cancer cells,TEAD4,41037_at,Hs.94865 ,7004
SW480 cancer cells,KLK6,204733_at,Hs.79361 ,5653
SW480 cancer cells,CCND1,208711_s_at,Hs.523852 ,595
SW480 cancer cells,SLC27A5,219733_s_at,Hs.292177 ,10998
SW480 cancer cells,HOXA9,214651_s_at,Hs.659350 ,3205
SW480 cancer cells,F12,205774_at,Hs.1321 ,2161
SW480 cancer cells,LRFN4,219491_at,Hs.684523 ,78999
SW480 cancer cells,NM_024609,218678_at,Hs.527971 ,10763
SW480 cancer cells,SLC6A8,210854_x_at,Hs.540696 ,6535
SW480 cancer cells,PCTK1,207239_s_at,Hs.496068 ,5127
SW480 cancer cells,SLC6A8,213843_x_at,Hs.540696 ,6535
SW480 cancer cells,KRT13,207935_s_at,Hs.654550 ,3860
Normal mucosa,TSPAN8,203824_at,Hs.170563 ,7103
Normal mucosa,LGALS4,204272_at,Hs.5302 ,3960
Normal mucosa,DCN,201893_x_at,Hs.694789 ,1634
Normal mucosa,COL3A1,215076_s_at,Hs.693798 ,1281
Normal mucosa,COL3A1,201852_x_at,Hs.693798 ,1281
Normal mucosa,CEACAM5,201884_at,Hs.466814 ,1048
Normal mucosa,TAGLN,205547_s_at,Hs.632099 ,6876
Normal mucosa,KRT20,213953_at,Hs.84905 ,54474
Normal mucosa,DCN,211896_s_at,Hs.694789 ,1634
Normal mucosa,MYH11,201497_x_at,Hs.460109 ,4629
Normal mucosa,FXYD3,202489_s_at,Hs.301350 ,5349
Normal mucosa,ACTG2,202274_at,Hs.516105 ,72
Normal mucosa,MYLK,202555_s_at,Hs.556600 ,4638
Normal mucosa,TPM1,210987_x_at,Hs.133892 ,7168
Normal mucosa,CDH17,209847_at,Hs.591853 ,1015
Normal mucosa,NFIB,209289_at,Hs.370359 ,4781
Normal mucosa,MGP,202291_s_at,Hs.365706 ,4256
Normal mucosa,SPARCL1,200795_at,Hs.62886 ,8404
Normal mucosa,RGS5,209071_s_at,Hs.24950 ,8490
Normal mucosa,MYH11,207961_x_at,Hs.460109 ,4629
Normal mucosa,PPAP2B,212226_s_at,Hs.6682641530 ,8613
Normal mucosa,COL3A1,211161_s_at,Hs.693798 ,1281
Normal mucosa,IGFBP7,201162_at,Hs.652108 ,3490
Normal mucosa,PPAP2B,209355_s_at,Hs.6682641530 ,8613
Normal mucosa,CALD1,201616_s_at,Hs.490203 ,800
Normal mucosa,C1R,212067_s_at,Hs.524224 ,715
Normal mucosa,CALD1,212077_at,Hs.490203 ,800
Normal mucosa,AGR2,209173_at,Hs.530009 ,10551
Normal mucosa,GNA11,564_at,Hs.6525726072 ,2767
Normal mucosa,HEPH,203903_s_at,Hs.31720 ,9843
Normal mucosa,GNA11,213944_x_at,Hs.6525726072 ,2767
Normal mucosa,GNG12,212294_at,Hs.431101 ,55970
Normal mucosa,ADH1B,209612_s_at,Hs.4 ,125
Normal mucosa,TPM1,206116_s_at,Hs.133892 ,7168
Normal mucosa,CRIM1,202551_s_at,Hs.332847 ,51232
Normal mucosa,FBLN1,202994_s_at,Hs.24601 ,2192
Normal mucosa,IGFBP5,211959_at,Hs.635441 ,3488
Normal mucosa,LAMA4,202202_s_at,Hs.654572 ,3910
Normal mucosa,CAV1,212097_at,Hs.74034 ,857
Normal mucosa,WASL,205809_s_at,Hs.143728 ,8976
Blood vessels,CDH5,204677_at,Hs.76206 ,1003
Lymph vessels,PDPN,204879_at,Hs.468675 ,10630
Lymph vessels,VEGFC,209946_at,Hs.435215 ,7424
Lymph vessels,FIGF,206742_at,Hs.11392 ,2277
